名称,主たる事業,区分,設備おむつ交換,設備授乳,設備その他,設備内容,箇所数,設置場所,特徴,郵便番号,市区町村,住所,電話番号,FAX,メール,営業時間,定休日,URL,PR（赤ちゃんの駅）
イオン浦和美園店,小売業,買物,○,○,○,3F赤ちゃんルーム内に、身長・体重測定器、哺乳瓶洗浄専用シンクあり。ミルク用のお湯はベビーレジにてご提供しています。,4,"【おむつ交換】１F～３F　紳士用・婦人用各トイレ
【おむつ交換＋授乳】３F赤ちゃんルーム","3階赤ちゃん用品売場隣に赤ちゃんルームあり。
また、１F～３F　紳士用・婦人用各トイレにおむつ交換用ベッドあり。
赤ちゃんと一緒に楽しくお買物が出来ます。",336-0967,さいたま市緑区,さいたま市緑区美園5-50-1,048-812-6464,048-812-6460,,9:00～22:00,年中無休,https://www.aeon.com/store/%E3%82%A4%E3%82%AA%E3%83%B3/%E3%82%A4%E3%82%AA%E3%83%B3%E6%B5%A6%E5%92%8C%E7%BE%8E%E5%9C%92%E5%BA%97/,便利で愉快な毎日に出逢える憩いの空間をお届けします。赤ちゃんと一緒に安心してお買物が出来ます。
富士見市立ピアザふじみ,出張所・多目的ホール・食育推進室・児童館・喫茶,公共施設,○,○,○,授乳用給湯器あり,5,"【おむつ交換+授乳】施設内1F「赤ちゃんの駅」部屋内(搾乳できます)
【おむつ交換】1階～4階　多目的トイレ",最新の授乳施設を完備しており、施設内の一階に位置し利便性が高い。,354-0021,富士見市,富士見市鶴馬3575-1,049-251-3005,049-251-3005,flg081@city.fujimi.lg.jp,9:00～22:00,12月29日～1月3日,https://www.city.fujimi.saitama.jp/,東武東上線「ふじみ野駅」東口ロータリー内に位置する多目的施設内にあり、その利便性は高い。
南部図書室,図書館,公共施設,○,○,×,,1,【おむつ交換+授乳】授乳室(搾乳できます),,343-0845,越谷市,越谷市南越谷1-2876-1,048-990-0305,048-990-0308,,月～金　10:00～21:00/土・日・祝/9:30～21:00,6月・9月・12月・3月の第2月曜日(休室日)、年末年始(12月29日から1月4日)、その他の休室日についてはお問い合わせください,https://suncityhall.jp/,赤ちゃんや保護者向けの本も多数あります。毎月1回ちびくまちゃんのおへや(わらべうたや絵本のよみきかせ)を開催しています。詳しくはお電話にてお問合せください。
山際建設有限会社,建設業,その他,○,○,○,キッズスペース有,1,【おむつ替え＋授乳】２F洗面所スペース,落ち着いた空間に本革のベンチで授乳が出来ます。小さなお子様も遊べるキッズスペースもあり、お連れ様は自然素材に囲まれた空間でお待ちいただけます。スタッフ一同歓迎してお迎えしますので安心してご利用ください。,334-0005,川口市,川口市里883-1,048-281-0625,048-284-3083,info@yamasan.biz,10:00～18:00,水曜日,http://www.yamasan.biz,創業50年以上の地元密着を目指した工務店です。人との関係を大事にする会社をモットーに高性能の注文住宅、自然素材、リフォーム、リノベーション、不動産といった建築に関して一括工事を請負う総合建設会社です。
MereMer,ネイル　まつ毛エクステ　ネイルスクール,理容・美容,○,○,○,キッズルーム,1,【おむつ替え+授乳】キッズルーム内,託児付きネイルサロン,351-0114,和光市,和光市本町11-3　志幸29シンフォニーB1,048-487-8580,048-487-8580,bellemere.nail@gmail.com,9:30～18:00,日曜日,http://www.meremer.com/,
大宮ハビリス接骨院,健康保険および自費による治療,その他,○,○,○,キッズスペース（フィットネス兼）,3,"【おむつ交換】キッズスペース前おむつ交換ベッド
【授乳】接骨院内ベッド（カーテン仕切り有）",ベビーベッドが一台、カーテンで仕切られたベッドがあります。,330-0852,さいたま市大宮区,さいたま市大宮区大成町3‐515,048-788-3418,048-788-3418,habilis@lime.plala.or.jp,8:00～13:00／15:00～20:00,日曜日,https://www.facebook.com/omiyahabilis,院長も赤ちゃんを連れて仕事中なので気兼ねなくお立ち寄りください。２０年に渡り医療現場で培った知識と技術で治療に当たっています。高濃度炭酸装置を使った血流改善や３．５ｍのボルダリングウォールを使った体幹訓練など、新しい健康つくりも行っている接骨院です。
株式会社アキュラホーム埼玉西　チャネル推進課,住宅建築・販売,住宅,○,○,○,ミルク用ウォーターサーバー,1,【おむつ交換＋授乳】店内打ち合わせルーム,,350-1151,川越市,川越市今福970-4,049-244-5882,049-249-5888,,10:00～19:00,水曜日,http://www.aqura.co.jp/,
株式会社アキュラホーム埼玉西　所沢若狭営業所,住宅建築・販売,住宅,○,○,○,ミルク用ウォーターサーバー,1,【おむつ交換＋授乳】店内打ち合わせルーム,,359-1151,所沢市,所沢市若狭3-2352-1(所沢ハウジングステージ内),04-2938-6631,04-2938-6633,,10:00～19:00,水曜日,http://www.aqura.co.jp/,住宅展示場なのでプライベート空間を保てるゆったりとしたスペースがあります。
株式会社アキュラホーム埼玉西　鶴ヶ島営業所,住宅建築・販売,住宅,○,○,○,ミルク用ウォーターサーバー,1,【おむつ交換+授乳】店内打ち合わせルーム,,350-2213,鶴ヶ島市,鶴ヶ島市脚折1513-7(鶴ヶ島住宅公園内),049-279-5222,049-279-5223,,10:00～19:00,水曜日,http://www.aqura.co.jp/,住宅展示場なのでプライベート空間を保てるゆったりとしたスペースがあります。
株式会社アキュラホーム埼玉西　川越営業所,住宅建築・販売,住宅,○,○,○,ミルク用ウォーターサーバー,1,【おむつ交換＋授乳】店内打ち合わせルーム,,350-1124,川越市,川越市新宿町5-13-62(川越ハウジングステージ内),049-248-5877,049-248-5866,,10:00～19:00,水曜日,http://www.aqura.co.jp/,住宅展示場なのでプライベート空間を保てるゆったりとしたスペースがあります。
株式会社アキュラホーム埼玉西　所沢営業所,住宅建築・販売,住宅,○,○,○,ミルク用ウォーターサーバー,1,【おむつ交換＋授乳】店内2F打ち合わせルーム,,359-1131,所沢市,埼玉県所沢市久米589(所沢駅前ハウジングステージ内),04-2997-5322,04-2994-7060,,10:00～19:00,水曜日,http://www.aqura.co.jp/,住宅展示場なのでプライベート空間を保てるゆったりとしたスペースがあります。
株式会社アキュラホーム埼玉西　新座営業所,住宅建築・販売,住宅,○,○,○,ミルク用ウォーターサーバー,1,【おむつ交換＋授乳】店内子供部屋,,352-0012,新座市,新座市畑中3-9-10(新座・朝霞ハウジングステージ内),048-480-3901,048-480-3980,,10:00～19:00,水曜日,http://www.aqura.co.jp/,住宅展示場なのでプライベート空間を保てるゆったりとしたスペースがあります。
さいたま市武蔵浦和コミュニティセンター,コミュニティセンター,公共施設,○,○,×,,3,"【おむつ交換】8F・9F男女トイレ、多目的トイレ
【授乳】9F授乳室",トイレは男女多目的いずれにもおむつ交換台があります。,336-0021,さいたま市南区,さいたま市南区別所7-20-1 サウスピア8・9階,048-844-7215,048-844-7216,musashiurawa-info@iaa.itkeeper.ne.jp,9:00～21:30,年末年始,https://www.musashiurawa-sp.info/,
鶴瀬毎日接骨院,接骨院・産後骨盤矯正,その他,○,○,○,水・お湯サーバー,1,【おむつ替え＋授乳】院内ベッド,お手洗い、水・お湯サーバー、おむつ交換（ベッド）,354-0021,富士見市,富士見市鶴馬3468-1,049-268-6133,049-268-6135,kaneko@tsuruse-mainichi.com,8:00～21:00,不定休,http://tsuruse-mainichi.com.,"施術を受けない方でもお気軽にどうぞお声かけ下さい！
「ひよこクラブ」にも掲載されております。"
ママズスマイル川口店,,教育・習い事,○,○,×,,1,【おむつ交換+授乳】店内(カーテンで仕切り可能なコーナーがあります。ベビー布団あり),おもちゃ・絵本・DVD・すべりだいなど、お子様が喜ぶものがたくさんあります。,332-0016,川口市,川口市幸町2-15-2　金杉ビル2F,048-229-1665,,info@kawaguchi-mamas-smile.com,10:00～17:00,年中無休,http://kawaguchi-mamas-smile.com/,ママズスマイルは、一時預かり専門の託児所です。事前面接ナシ!当日予約もOKです。1時間(800円)からご利用いただけます。
東日本旅客鉄道株式会社　東浦和駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,さいたま市緑区,さいたま市緑区東浦和1丁目,,,,,,,
東日本旅客鉄道株式会社　東川口駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,川口市,川口市戸塚1丁目,,,,,,,
東日本旅客鉄道株式会社　南越谷駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,越谷市,越谷市南越谷1丁目,,,,,,,
東日本旅客鉄道株式会社　吉川美南駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,吉川市,吉川市美南,,,,,,,
東日本旅客鉄道株式会社　浦和駅,鉄道事業,公共交通機関,○,×,×,,3,【おむつ交換】多機能トイレ・女子トイレ・男子トイレ,,,さいたま市浦和区,さいたま市浦和区高砂1丁目,,,,,,,
東日本旅客鉄道株式会社　北浦和駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,さいたま市浦和区,さいたま市浦和区北浦和3丁目,,,,,,,
東日本旅客鉄道株式会社　久喜駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,久喜市,久喜市久喜中央2丁目,,,,,,,
東日本旅客鉄道株式会社　指扇駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,さいたま市西区,さいたま市西区大字宝来,,,,,,,
東日本旅客鉄道株式会社　南古谷駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,川越市,川越市大字並木,,,,,,,
東日本旅客鉄道株式会社　笠幡駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,川越市,川越市大字笠幡,,,,,,,
ベルクさいたま吉野町店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,331-0811,さいたま市北区,さいたま市北区吉野町1-378,048-661-8300,048-661-8301,,9:00～23:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク川越むさし野店,食品スーパー,買物,○,×,×,,1,【おむつ替え】多目的トイレ,,350-1170,川越市,川越市むさし野17-11,049-249-1300,049-249-1301,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク春日部緑町店,食品スーパー,買物,○,×,×,,1,【おむつ替え】多目的トイレ,,344-0063,春日部市,春日部市緑町3-11-24,048-731-3900,048-731-3901,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク東越谷店,食品スーパー,買物,○,×,×,,1,【おむつ替え】多目的トイレ,,343-0023,越谷市,越谷市東越谷8-1-1,048-969-3200,048-969-3201,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク上尾東店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,362-0012,上尾市,上尾市大字上尾宿2165-5,048-779-9900,048-779-9901,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルクベスタ本庄寿店,食品スーパー,買物,○,×,×,,1,【おむつ交換】多目的トイレ,,367-0023,本庄市,本庄市寿3-5-18,0495-25-7300,0495-25-7301,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク上尾春日店,食品スーパー,買物,○,×,×,,1,【おむつ替え】多目的トイレ,,362-0074,上尾市,上尾市春日1-34-29,048-779-4800,048-779-4801,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルクフォルテ深谷店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】・多目的トイレ
【ベビーチェア】・男子トイレ、女子トイレ",,366-0042,深谷市,深谷市東方町3-35-1,048-551-2600,048-551-2601,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク川越小仙波店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,350-0036,川越市,川越市小仙波町3-16-3,049-229-4900,049-229-4901,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク北本二ツ家店,食品スーパー,買物,○,×,×,,1,【おむつ替え】多目的トイレ,,364-0014,北本市,北本市二ツ家1-147,048-590-7400,048-590-7401,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク坂戸石井店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,350-0212,坂戸市,坂戸市石井2705-3,049-280-6400,049-280-6401,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク越谷花田店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,343-0015,越谷市,越谷市花田1-17-7,048-960-1900,048-960-1901,,9:00～23:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク坂戸八幡店,食品スーパー,買物,○,×,×,,1,【おむつ替え】多目的トイレ,,350-0223,坂戸市,坂戸市八幡2-2-5,049-288-5400,049-288-5401,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク加須久下店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,347-0063,加須市,加須市久下4-43-8,0480-76-3300,0480-76-3301,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルクさいたま南与野店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,338-0013,さいたま市中央区,さいたま市中央区鈴谷2-631,048-840-6500,048-840-6501,,9:00～1:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク熊谷銀座店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,360-0032,熊谷市,熊谷市銀座2-226,048-599-0900,048-599-0901,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
埼玉県森林科学館,展示館,公共施設,○,×,×,,1,【おむつ替え】2階展示室内,"スペースも広く、ベビーベッドを完備しています。
カーテンでの仕切りできます。",369-1903,秩父市,秩父市中津川447,0494-56-0026,0494-56-0028,furemori@chichibu.ne.jp,9:00～17:00,12月29日～翌1月3日以外は無休,http://www.chichibu.ne.jp/~furemori/,奥秩父の森林は、四季折々に大自然の息吹を実感でき、心も体も森林の力で癒されます。そんな恵まれた豊かな自然環境に囲まれた埼玉県森林科学館で、森林の働き、森の生き物たちなどについて学んだり、木工工作体験などのコーナーで思いっきり楽しんでください。
ベルク北坂戸店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】多目的トイレ
【ベビーチェア】男子トイレ、女子トイレ",,350-0272,坂戸市,坂戸市末広町20-2,049-296-9500,049-296-9501,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
八潮市立八條図書館・公民館,図書館・公民館,公共施設,○,×,○,ベビーチェア,6,"【おむつ交換】1階女子トイレ、1階男子トイレ、1・2階多目的トイレ
【授乳】休憩室
【ベビーチェア】1・2階女子トイレ",,340-0801,八潮市,八潮市大字八條2753-46,,,,図書館9:00～19:00、公民館9:00～21:00,毎週月曜日(祝日の場合は翌平日)、年末年始,https://www.city.yashio.lg.jp/kurashi/shisetsuguide/shisetsuannai/index.html,"1階が図書館、2階が公民館です。
生涯学習の場として、多くの人たちが利用しています。"
(株)レーベンハウス　北上尾店,不動産業,その他,○,○,×,,1,【おむつ交換+授乳】店内個室,おむつ替えベッド1台、カーテン付き授乳スペース,362-0015,上尾市,上尾市緑丘3-3-11-2　PAPA PRINCESS 2F,048-772-8202,048-772-8206,kitaageoten@lebenhouse.co.jp,10:00～19:00,毎月第3水曜日,http://www.lebenhouse.co.jp/shop/kitaageo.html,"(株)レーベンハウスは地域密着型のアットホームな不動産会社です。高崎線上尾駅～鴻巣駅まで。ニューシャトル伊奈線にてお部屋をお探しの方、必見です。敷金ゼロ、礼金ゼロ物件や、一ヶ月賃貸無料物件等、数多くご用意しております。
当店ご来店のお客様は駐車料金無料です。PAPAショッピングモール内にお車をお停め下さい。"
上戸田地域交流センター,公共施設,公共施設,○,○,○,キッズスペース,10,"【おむつ替え】2階授乳室、1・2・3階トイレ(男性・女性・多機能)
【授乳】2階授乳室(搾乳できます)","授乳室にはソファー、おむつ交換台、調乳器があります。
各トイレにおむつ交換台を完備。",335-0022,戸田市,戸田市上戸田2-21-1,048-229-3133,048-229-3996,kamitoda7kouryu@ipal-friendship.net,9:00～21:30,毎月第3月曜日(祝日の場合開館),https://www.ipal-friendship.net/,様々なイベントや絵本の読み聞かせを行っています。子育て中の方たちが、リフレッシュ・交流できる場です。
ヤオコー朝霞岡店,食品スーパーマーケット,買物,○,×,×,,1,【おむつ交換】女子トイレ・多目的トイレ,,351-0007,朝霞市,朝霞市岡2丁目12番8号,048-451-9111,048-464-8970,,9:30～21:45,年中無休,http://www.yaoko-net.com/,
三芳町中央公民館,官公庁,公共施設,○,○,×,,1,【おむつ替え+授乳】1階授乳室,授乳室内にカーテンでブース分けされた授乳スペース、ベッドの設置あり。,354-0044,三芳町,三芳町北永井348-2,049-258-0050,049-258-1833,chuuko@town.saitama-miyoshi.lg.jp,9:00～22:00,毎月第一月曜日(祝祭日にあたる場合は翌週に振替)、12月28日～1月4日,http://www.town.saitama-miyoshi.lg.jp,公共施設貸出事業
三芳町中央図書館,官公庁,公共施設,○,×,×,,1,【おむつ替え】1階多目的トイレ,多目的トイレ内におむつ交換台あり。,354-0041,三芳町,三芳町藤久保185-1,049-258-6464,,tosyokan@town.saitama-miyoshi.lg.jp,(火～金)10:00～19:00/(土・日)10:00～18:00,月曜日、月末日、国民の祝日(ただし土・日曜を除く)、年末年始、特別整理期間(年間10日以内),http://www.town.saitama-miyoshi.lg.jp,公共施設図書貸出事業
埼玉りそな銀行　北浦和西口支店,銀行,金融,○,○,×,,1,"【おむつ交換】店舗1階ロビー奥の多目的トイレ、授乳室
【授乳】店舗1階ロビー奥の授乳搾乳室",多目的トイレには折り畳み式ベビーベッドがあります。また、おむつ交換台のある授乳搾乳室1室があります。,330-0074,さいたま市浦和区,さいたま市浦和区北浦和4-5-5,048-832-1501,,,9:00～17:00,土日祝日,,
総合住宅展示場　川越ハウジングステージ,総合住宅展示場,その他,○,○,×,,3,"【おむつ替え】女子トイレ、屋外多目的トイレ
【授乳】インフォメーションセンター内　授乳室",おむつ交換台2台、授乳室1部屋,350-1100,川越市,川越市新宿町5‐13‐62,049-265-6540,,,10時00分～18時00分,年中無休(※年末年始・平日は休業日のモデルハウスもございます),http://www.housingstage.jp/exhibition/kawagoe/,"授乳室、おむつ替えコーナーを完備しております。
小さなお子様連れの方もご安心してお越し下さい。"
上尾市こども保健センター,保健センター,公共施設,○,○,×,,4,"【おむつ替え+授乳】1階授乳室(搾乳できます)　
【おむつ替え】1階および2階多機能トイレ
【授乳】2階授乳室(搾乳できます)　","1階授乳室は3名、2階授乳室は2名の方まで同時にご利用いただけます。
おむつ交換台は計5台ご用意しております。",362-0015,上尾市,上尾市緑丘2丁目1番27号,048-778-8768,048-774-8188,s172100@city.ageo.lg.jp,8:30～17:15,土曜日、日曜日、祝日及び12月29日から翌年の1月3日まで,https://www.city.ageo.lg.jp/soshiki/s172100/,
ベルク浦和根岸店,食品スーパー,買物,○,×,○,ベビーチェア,2,"【おむつ替え】・多目的トイレ
【ベビーチェア】・男子トイレ、女子トイレ",,336-0024,さいたま市南区,さいたま市南区根岸5-17-1,048-710-6400,048-710-6401,,9:00～1:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
ベルク岩槻宮町店,食品スーパー,買物,○,×,×,,1,【おむつ替え】多目的トイレ,,339-0065,さいたま市岩槻区,さいたま市岩槻区宮町1-3-3,048-790-0900,048-790-0901,,9:00～24:00,,http://www.belc.jp,「地域社会の人々により充実した生活を」を企業理念に掲げ、地域密着型の食品スーパーマーケットをチェーン展開しています。
特別養護老人ホーム扇の森WEST,介護保険サービス業（特別養護老人ホーム・ショートステイ・小規模多機能型居宅介護）,その他,○,×,×,,1,【おむつ替え】1階　共有トイレ,1階共有トイレ内に おむつ交換台 を設置,331-0077,さいたま市西区,さいたま市西区中釘2345-1,048-729-6070,048-729-6072,oginomori@oginomori.jp,9:00～21:00,年中無休,http://eijuso.com/,特別養護老人ホーム扇の森WESTは、さいたま市西区に地域密着型サービスの提供を主な目的とし、平成25年4月にOPENしました。扇の森WEST 1階にはどなたでも気軽にご利用いただける『森のカフェ』が併設されており、地域の方の憩いの場になっております。
