名称,主たる事業,区分,設備おむつ交換,設備授乳,設備その他,設備内容,箇所数,設置場所,特徴,郵便番号,市区町村,住所,電話番号,FAX,メール,営業時間,定休日,URL,PR（赤ちゃんの駅）
さいたま市浦和コミュニティセンター,コミュニティセンター,公共施設,○,×,×,ベビーチェア,5,"【おむつ交換】みんなのトイレ(2箇所)、男女トイレ
【授乳】プレイルーム",トイレにおむつ交換台あり。,330-0055,さいたま市浦和区,さいたま市浦和区東高砂町11-1　コムナーレ10階,048-887-6565,048-887-7090,urawa_comisen@saitama-culture.jp,9:00～21:30,年末年始,http://www.saitama-culture.jp/,お子さんから高齢者の方まで、全ての市民に平等にご利用いただける施設を目指しています。
さいたま市市民活動サポートセンター,市民活動支援施設,その他,○,○,○,ベビーチェア、プレイルーム,3,"【おむつ交換+授乳】9階施設内の授乳室
【おむつ交換】みんなのトイレ、南側女子トイレに設置",授乳室内におむつ交換台と授乳スペースが併設されています。また、みんなのトイレ(多機能トイレ)と南側女子トイレ内におむつ交換台があります。,330‐0055,さいたま市浦和区,さいたま市浦和区東高砂町11番1号 コムナーレ9階,048-813-6400,048-887-0161,supportcenter@saitama-culture.jp ,9:00～21:30,年末・年始,http://www.saitamacity-support.jp/,浦和駅東口駅前のビルの9階にある公共施設です。お子さん連れで利用する方のためのプレイルームがあります。
駒場運動公園,競技場,公共施設,○,×,×,,1,【おむつ交換】1階女子トイレ・多目的トイレ内、2階メインスタジアム男女トイレ内、3階メインスタジアム男女トイレ内、サイド東西側トイレ内、バック1階男女トイレ内、バック2階男女トイレ内,男女トイレ内にベビーベット完備,330-0051,さいたま市浦和区,さいたま市浦和区駒場2-1-1,048-882-8149,048-882-8360,komaba-park@sgp.or.jp,8:30～19:00,年末年始(12/26～1/4迄),https://www.sgp.or.jp/,
浦和消防署日の出出張所,消防署,公共施設,○,×,○,ベビーチェア,1,【おむつ交換】1階　みんなのトイレ,『みんなのトイレ』内に折りたたみおむつ交換台、ベビーチェアを設置。,330-0054,さいたま市浦和区,さいたま市浦和区東岸町8-10,048-882-1119,048-883-6598,urawashobo-hinode@city.saitama.lg.jp,8:30～17:15,なし,http://www.city.saitama.jp/urawa/005/003/p008219.html,消防施設なので、土・日・祝日にも利用していただけます。
うらわ美術館,美術館,公共施設,○,○,○,ベビーチェア,2,"【おむつ交換】身障者用トイレ
【授乳】応接室",身障者用トイレにおむつ交換台あり、応接室で授乳可。,330-0062,さいたま市浦和区,さいたま市浦和区仲町2-5-1　浦和センチュリーシティ3F,048-827-3215,048-834-4327,urawa-art-museum@city.saitama.lg.jp,10:00～17:00/金・土 10:00～20:00,月曜日(祝日の場合は開館、翌平日休館),https://www.city.saitama.jp/urawa-art-museum/,様々な企画展やコレクション展を開催します。美術に関する情報コーナーもあります。
さいたま市青少年宇宙科学館,科学館,公共施設,○,×,×,,2,"【おむつ交換】1階男子及び女子トイレ内
【おむつ交換+授乳】授乳室内",,330-0051,さいたま市浦和区,さいたま市浦和区駒場2-3-45,048-881-1515,048-882-9702,uchu-kagakukan@city.saitama.lg.jp,9:00～17:00,月曜日(月曜日が休日の場合は、その翌日)、年末年始,https://www.city.saitama.jp/kagakukan/index.html,入館無料です。お気軽にお立ち寄りください。
東日本旅客旅行鉄道株式会社　与野駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,さいたま市浦和区,さいたま市浦和区上木崎1丁目,,,,,,,
浦和税務署,官公庁,公共施設,○,×,×,,1,【おむつ交換】1階　車いす対応トイレ,-,330-9590,さいたま市浦和区,さいたま市浦和区常盤4丁目11番19号,048-833-2651,,,8:30～17:00,土・日・祝日・年末年始,http://www.nta.go.jp/kantoshinetsu/guide/zeimusho/saitama/urawa/index.htm,-
埼玉県庁,官公庁（埼玉県）,公共施設,○,○,×,,14,"【おむつ換え＋授乳】
本庁舎１Ｆ東　　赤ちゃん休憩室
【おむつ換え】
本庁舎１Ｆ東　　男子トイレ、女子トイレ、多機能トイレ
本庁舎１Ｆ南　　男子トイレ、女子トイレ、多機能トイレ
本庁舎３Ｆ北西　　男子トイレ、女子トイレ
第二庁舎１Ｆ西　　トイレ前
第三庁舎１Ｆ西　　多機能トイレ
職員会館１Ｆ　　男子トイレ、女子トイレ
職員会館３F　　多機能トイレ",本庁舎１Ｆ東　赤ちゃん休憩室では、おむつ交換台、シンク、親子で休めるベンチ、冷暖房完備。おむつ交換台には殺菌灯がついています。,330-9301,さいたま市浦和区,さいたま市浦和区高砂3-15-1,048-830-2592,,,8:30～17:15（平日）,土日祝日,,本庁舎で赤ちゃん休憩室を設置したのは近県では埼玉県が初めてです。
学校法人浅沼学園　ひなぎく幼稚園,幼稚園,教育・習い事,○,×,×,,1,【おむつ交換】1階　トイレ,多くのお子さんが通う幼稚園内の施設です。,330-0061,さいたま市浦和区,さいたま市浦和区常盤8-1-18,048-831-7662,048-834-2981,,9:00～17:00(保育時間(預り保育含む)),土・日・祝日及び春・夏・冬休み,http://www.hinagiku.ed.jp,
木の実幼稚園,学校教育,教育・習い事,○,×,×,,1,【おむつ交換】多目的トイレ,幼児収容の施設,330-0042,さいたま市浦和区,さいたま市浦和区木崎5-28-6,048-886-1591,048-886-1591,,8:00～18:00,土・日・祝日,http://www.saitama-konomi.com,浦和区の郊外に位置し、住宅地内にあり静かな緑豊かな環境の中で幼児が活動しています。
認定こども園母の会　たねの家保育園,保育,教育・習い事,○,○,×,,1,【おむつ交換+授乳】2階保育室,子ども達が生活している場の一部をお使い下さい。,330-0052,さいたま市浦和区,さいたま市浦和区本太1-24-16,048-883-3021,048-883-3021,tane@hahanokai.ac.jp,7:30～19:00,日曜・祭日・年末年始,http://www.hahanokai.ac.jp,認定こども園母の会では、水曜日の14:00～16:30と土曜日の9:00～12:00に園庭解放しています。ご利用下さい。
関東菱油株式会社　DD浦和仲町店,ガソリン、軽油、カーケア商品等の販売,買物,○,×,×,,1,【おむつ交換】共用トイレ,おむつ交換ができるベビーシートをトイレ内に設置,330-0056,さいたま市浦和区,さいたま市浦和区東仲町6-9,048-881-2505,,,平日　8:00～20:00/日・祝・祭日　8:30～19:00,年中無休,http://www.kanto-ryoyu.co.jp,お車のことなら、なんでもご相談ください。
(株)ENEOSフロンティア埼玉支店　DDセルフ北浦和店,ガソリンスタンド,買物,○,×,×,,1,【おむつ交換】女子トイレ,おむつ交換ができるベビーシートをトイレ内に設置,330-0072,さいたま市浦和区,さいたま市浦和区領家3-18-5,048-813-1303,048-813-1304,,0:00～24:00,,http://www.eneos-frontier.co.jp,お車のことなら何でもお任せ下さい。
社会福祉法人ひまわり乳児保育園,保育所,その他,○,○,×,,1,【おむつ交換+授乳】子育て支援センター,保育園併設型で、立ち寄りながら子育ての相談も出来ます。,330-0075,さいたま市浦和区,さいたま市浦和区針ヶ谷2-16-16,048-827-0777,048-833-6410,mazh@himawarikkoland.ed.jp,平日　9:00～16:00/土曜日　9:00～14:00,日曜日、祭日,http://www.himawarikkoland.ed.jp/,"30年以上の実績のある園です。
受け入れ月齢は、0歳の42日目から3歳の3月までです。
保育理念は、体は強く、頭も強く、心はやさしく、つまり、知・情・体の三位一体の保育を行っています。安心して預けられる園と評されています。"
スターバックスコーヒー　北浦和駅前店,コーヒー及び関連商品の販売,飲食,○,×,×,,1,【おむつ交換】トイレ内,,336-0074,さいたま市浦和区,さいたま市浦和区北浦和4-5-2 伊吹ビル,048-825-3988,,,7:00～22:00,不定休,,
学校法人厚徳幼稚園,幼稚園,教育・習い事,○,○,×,,1,【おむつ交換+授乳】2階　トイレ前スペース,,330-0074,さいたま市浦和区,さいたま市浦和区北浦和3-16-21,048-824-1582,048-824-1724,,9:00～16:30,土・日・祝日,https://kotoku-yochien.ed.jp,
学校法人双恵学園　双恵幼稚園,幼稚園,その他,○,○,×,,5,【授乳】１階　職員室、中間室、廊下、２階　会議室／【おむつ】２階　会議室,,330-0075,さいたま市浦和区,さいたま市浦和区針ヶ谷1-21-24,048-831-3705,048-831-3728,,9：00～17：00,土・日,,
コルソ,ショッピングセンター,買物,○,×,×,,7,【おむつ交換】２階、３階、４階、７階　女性化粧室内。地下１階、７階　女性化粧室前。４階　多目的トイレ内,,330-0063,さいたま市浦和区,さいたま市浦和区高砂1-12-1,048-824-5555,048-824-5551,,10：00～20：00,年中無休（元旦を除く）,https://urawa-corso.com/,
恭慶館,伝統文化施設,公共施設,○,×,×,,1,【おむつ交換】多目的トイレ,多目的トイレ内におむつ交換台あり。,336-0001,さいたま市浦和区,さいたま市浦和区常盤9-30-5,048-835-7450,048-835-7453,hika@saitama-culture.jp,9:00～17:00,年末年始(12月29日～1月3日)、月曜日(祝日の場合は翌平日),https://www.city.saitama.jp/008/003/001/kyoukeikan.html,閑静な浦和北公園内に立地する「恭慶館」は、我が国の伝統文化の普及及び伝承を図り、市民文化の向上に寄与するための伝統文化施設です。
浦和駒場体育館,体育館,公共施設,○,×,×,,2,【おむつ交換】1階西側トイレ、1階東側女子トイレ、競技場内幼児室,トイレにおむつ交換台、幼児室にベビーベッドあり。,330-0051,さいたま市浦和区,さいたま市浦和区駒場2-5-6,048-885-6010,048-885-6011,,9:00～21:00,年末年始(12/29～1/3),http://sai-komaba-spomachi.jp,
さいたま市立教育研究所,教職員研修拠点,公共施設,○,×,○,お湯の提供,1,【おむつ交換】地下1階女子トイレ,"トイレ内にオムツ交換台あり。
お湯の提供可能。",330-0064,さいたま市浦和区,さいたま市浦和区岸町6-13-15,048-838-0781,048-838-0888,kyoiku-kenkyujyo@city.saitama.lg.jp,8:30～17:15,土・日・祝日,http://www.saitama-city.ed.jp/index.html,
さいたま市立岸町公民館,公民館,公共施設,○,×,×,,1,【おむつ交換】1階トイレ前,トイレ前にベビーベッドあり,330-0064,さいたま市浦和区,さいたま市浦和区岸町5-1-3,048-824-0168,048-825-3230,kishimachi-pub@city.saitama.lg.jp,9:00～21:30,"年末年始(12月29日～1月3日)
他休館日あり。",http://www.city.saitama.jp/urawa/001/001/005/001/p033954.html,子育てサロンを実施しています。
さいたま市立中央図書館,図書館,公共施設,○,○,○,ベビーチェア,3,"【おむつ交換+授乳】女子トイレ内ベビー休憩室
【おむつ交換】みんなのトイレ2室","女子トイレ内のベビー休憩室はおむつ交換台、椅子を完備した授乳スペース。
みんなのトイレ2室にそれぞれ折りたたみ式おむつ交換台。
男女トイレ内にベビーチェア。
子育て情報も提供しております。",330-0055,さいたま市浦和区,さいたま市浦和区東高砂町11-1 コムナーレ8階,048-871-2100,048-884-5500,chuo-lib-kanri@city.saitama.lg.jp,月～金曜日　9:00～21:00/土・日・祝日　9:00～18:00,第1・第3月曜日(祝日の場合は開館し、翌水曜日に休館)、12月29日～1月4日、特別整理期間,https://www.lib.city.saitama.jp/contents?3&pid=32,ユニバーサルデザインに配慮した図書館です。
さいたま市立北浦和図書館,図書館,公共施設,○,○,○,ベビーチェア,2,"【おむつ替え】1階みんなのトイレ
【おむつ替え+授乳】3階児童室","1階みんなのトイレにおむつ交換台・ベビーチェア設置。3階児童室にはベビーベッドを設置、カーテンで仕切りができるので授乳が可
能です。",330-0074,さいたま市浦和区,さいたま市浦和区北浦和1-4-2,048-832-2321,048-832-2324,kitaurawa-lib@city.saitama.lg.jp,"火～金曜日
9:00～20:00
土・日・祝日
9:00～18:00",月曜日(祝日の場合は開館し、翌々日水曜日休館)、12月29日～1月4日、特別整理期間,https://www.lib.city.saitama.jp/contents?3&pid=49,旧中山道沿いにある静かで落ち着いた図書館です。学校へのサービス拠点として、学校図書館支援センターを併設しています。
子育て支援センターうらわ,地域子育て支援拠点,教育・習い事,○,○,○,お湯の提供,1,交流室、授乳室,"交流室内におむつ交換台
授乳室あり",330-0063,さいたま市浦和区,さいたま市浦和区高砂1-2-1-309 エイベックスタワー浦和・オフィス東館3階,048-814-0481,048-814-0481,kosodate@siren.ocn.ne.jp,"9:00～12:00
13:00～16:00","第2・第4月曜
第5日曜、祝日、年末年始",https://www.saitama-kosodate.jp/map/desc.php?xid=271,0歳から2歳までの子どもと親の交流の場です。気軽にご利用ください。
さいたま市立岸町保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室,事務室内に授乳用パーテーションとお湯設備とおむつ交換用マット有り,330-0064,さいたま市浦和区,さいたま市浦和区岸町6-5-12,048-822-3010,048-822-3027,kishicho-hoiku@city.saitama.jp,8:30～17:00,土・日・祝日,,
さいたま市立本太保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室,事務室内に授乳場所とおむつ交換マット、お湯設備あり。,330-0052,さいたま市浦和区,さいたま市浦和区本太4-3-15,048-882-3561,048-882-3806,motobuto-hoiku@city.saitama.jp,8:30～17:00 ,土・日・祝日,,戸外遊び中心に天気の良い日は散歩に出掛け、自然を楽しんでいます。
さいたま市立領家保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室,事務室内に授乳用パーテーションとお湯設備とおむつ交換用マット有り,330-0072,さいたま市浦和区,さいたま市浦和区領家7-14-16,048-831-4378,048-831-4448,ryoke-hoiku@city.saitama.jp,8:30～17:00,土・日・祝日,,静かな住宅街にあり、園庭には桜や藤の木があり、季節感が楽しめ、日当たりも良いです。
さいたま市立駒場保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室,事務室内に授乳用パーテーションとお湯設備とおむつ交換用マット有り,330-0051,さいたま市浦和区,さいたま市浦和区駒場1-27-7,048-886-9200,048-886-9228,komaba-hoiku@city.saitama.jp,8:30～17:00,土・日・祝日,,日当たりに恵まれた園庭で、天気の良い日は元気に外遊びです
さいたま市立浦和中央保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室,事務室内にオムツ交換台・授乳用パーテーション・お湯の提供有り,330-0062,さいたま市浦和区,さいたま市浦和区仲町2-13-7,048-822-2067,048-822-2206,urawa-chuo-hoiku@city.saitama.jp,8:30～17:00,土・日・祭日,,市の中心にありながら、住宅や公園に囲まれた静かな環境に建っています。
さいたま市立常盤保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室の奥,事務室の奥におむつ交換マット、ベビーラック(椅子)有り,330-0061,さいたま市浦和区,さいたま市浦和区常盤9-3-16,048-833-8730,048-833-8766,tokiwa-hoiku@city.saitama.jp,8:30～17:00,土・日・祝日,,
さいたま市立常盤北保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室,事務室内にオムツ交換台・授乳用パーテーション有・お湯設置有り,330-0075,さいたま市浦和区,さいたま市浦和区針ヶ谷4-1-1,048-833-8728,048-833-8735,tokiwakita-hoiku@city.saitama.jp,8:30～17:00,土・日・祝日,,北浦和駅から徒歩10分の保育園です。子どもたちの歓声が響きわたっています。
さいたま市立東仲町保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室,事務室内に授乳用椅子・お湯設置有,330-0056,さいたま市浦和区,さいたま市浦和区東仲町28-16,048-885-9101,048-885-7303,higasinakacho-hoiku@city.saitama.jp,8:30～17:00,土・日・祝日,,浦和駅から5～6分。明るく元気な子どもたちの歓声が響いています。
さいたま市立大東保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室,事務室におむつ交換マット・授乳用パーテーション・お湯の提供有,330-0042,さいたま市浦和区,さいたま市浦和区大東2-18-7,048-887-6168,048-887-6183,daito-hoiku@city.saitama.jp,8:30～17:00,土・日・祝日,,子どもたちの笑顔に出会える保育園です。
さいたま市立針ヶ谷保育園,保育所,教育・習い事,○,○,○,お湯の提供,1,【おむつ交換+授乳】事務室,事務室内に授乳用パーテーションとお湯設備、おむつ交換マット有り,330-0075,さいたま市浦和区,さいたま市浦和区針ヶ谷1-4-3,048-824-3746,048-825-0325,harigaya-hoiku@city.saitama.jp ,8:30～17:00 ,土・日・祭日,,広い園舎、園庭に一日中子ども達の声が響きわたっています。
浦和総合運動場,運動場,公共施設,○,×,×,,1,【おむつ交換】1階ロビー,ロビーにベビーベッドあり。,330-0073,さいたま市浦和区,さいたま市浦和区元町1-29-10,048-886-3200,048-887-0882,info@urawa-ballpark.org,8:30～17:00(ナイター営業日21:00),年末年始(12月29日から1月3日),https://urawa-ballpark.org/,市営浦和球場を含む複数の運動施設を備えた総合運動場です。
浦和北公園,公園・運動場,公共施設,○,×,×,,1,【おむつ交換】1階ロビー,ロビーにベビーベッドあり。,336-0061,さいたま市浦和区,さいたま市浦和区常盤9-30,048-886-3200,048-887-0882,info@urawa-ballpark.org,8:30～17:00,月曜日(祝日の場合は翌平日),https://urawa-ballpark.org/urawakita,県立北浦和公園に隣接する緑豊かな公園です。
調公園,公園,公共施設,○,×,×,,2,【おむつ交換】1階エントランス、1階多目的トイレ,"エントランスにベビーベッドあり。
多目的トイレにおむつ交換台あり。",330-0064,さいたま市浦和区,さいたま市浦和区岸町3-17,048-852-2518,048-858-2621,besshonuma@spg.or.jp,9:00～17:00,月曜日,http://www.sgp.or.jp/,調神社に隣接した心休まる公園です。
さいたま市役所本庁舎,市役所,公共施設,○,○,○,ベビーキープ,5,"≪本館≫
【授乳+おむつ替え】1F東側授乳室
【おむつ替え】1F東側・西側みんなのトイレ
≪第二別館≫
【授乳+おむつ替え】1F西側授乳室
【おむつ替え】1・2F西側みんなのトイレ","≪本館≫
1F東側授乳室には、おむつ交換台・ソファ有。
1F東・西みんなのトイレには、おむつ交換台有。
≪第二別館≫
1F西側授乳室には、水洗・おむつ交換台・ソファ有。
1F・2Fみんなのトイレには、おむつ交換台有。",330-9586,さいたま市浦和区,さいたま市浦和区常盤6-4-4,048-829-1173,048-825-0665,chosha-kanri@city.saitama.lg.jp,8:30～17:15,土・日・祝日,https://www.city.saitama.jp/006/012/001/006/p001690.html,"市役所本館は1階は浦和区役所となっています。
第二別館は2階建てとなっています。1階2階ともに赤ちゃんの駅が設置されております。"
さいたま市浦和区役所保健センター,保健センター,公共施設,○,○,×,,2,【おむつ交換】1階ロビー計測・授乳室、3階多目的トイレ、【授乳】1階ロビー計測・授乳室,1階ロビーにベビーベッド。3階多目的トイレにおむつ交換台を設置。,330-0061,さいたま市浦和区,さいたま市浦和区常盤6-4-18,048-824-3971,048-825-7405,urawaku-hoken-center@city.saitama.lg.jp,8:30～17:15,土・日・祝日,http://www.city.saitama.lg.jp/urawa/001/002/003/003/p040789.html,妊娠・出産・育児等のご相談を保健師や管理栄養士、歯科衛生士がお受けしています。
はとり接骨院,接骨院,その他,○,○,○,当院はクリクラの水を設置しているので、お水やお湯の提供も出来ます。,1,【おむつ交換+授乳】院内,施術用ベッドをご利用いただけますので、ゆったりできます。,3300052,さいたま市浦和区,さいたま市浦和区本太4-9-4,048-884-4970,048-884-4970,hatori-sekkotsu@dream.jp,9:00～19:00,木曜日、日曜日、祝祭日,http://hatorisekkotsuin.com/,"筋肉や関節のお怪我を拝見します。
保険外での施術も行えます。
気になる痛みがありましたらぜひご来院ください。"
モスバーガー北浦和西口店,ファーストフード,飲食,○,×,×,,1,【おむつ交換】店内トイレ内,,330-0074,さいたま市浦和区,さいたま市浦和区北浦和4-2-2,048-815-7677,,,9:00～23:00,無休,http://www.mos.co.jp,
埼玉県障害者交流センター(身体障害者福祉センター),官公庁(埼玉県),公共施設,○,○,×,,1,【おむつ替え+授乳】2階体育館観覧席内「赤ちゃんの駅専用スペース」,,330-8522,さいたま市浦和区,さいたま市浦和区大原3-10-1,048-834-2222,,,平日10:00～17:00　土日祝9:30～17:00,毎週月曜日と第3火曜日(ただし、その日が祝日の場合はその翌日),,"利用の際は、管理棟事務室にお声がけください。
休館日は利用できません。"
文書館,官公庁(埼玉県),公共施設,○,×,×,,1,【おむつ交換】1階　多目的トイレ,,330-0063,さいたま市浦和区,さいたま市浦和区高砂4-3-18,048-865-0112,,,【開館時間】9:00～17:00,月曜日、祝日、年末年始、特別整理休館日,http://www.saimonjo.jp,利用可能時間(開館日時)にご注意ください。詳しくは県立文書館ホームページでご確認ください。
さいたま市立仲本児童センター,児童館,教育・習い事,○,○,○,お湯の提供。ベビーキープ,2,"【おむつ交換台】1階みんなのトイレ、2階乳幼児室　
【ベビーキープ】1階みんなのトイレ、2階女子トイレ、2階男子トイレ　　
【授乳スペース】2階乳幼児室","乳幼児室に授乳室、おむつ交換台、ベビーベッドあり。1階みんなのトイレ,2階トイレにベビーキープあり。",330-0056,さいたま市浦和区,さいたま市浦和区東仲町28番15号,048-762-8405,048-762-8541,nakamoto.syazi@nifty.com,9:00～18:00,国民の休日(こどもの日・敬老の日・文化の日)を除く、年末年始,http://www.saicity-j.or.jp/j-nakamoto.html,"乳幼児や未就学児とその保護者が安全に、廻りを気にせず遊ぶことのできる乳幼児室があります。
気軽にお越しください。"
分上野藪かねこ,そば店,飲食,×,○,○,調乳用お湯の提供,1,【授乳】店内客席,,330-0062,さいたま市浦和区,さいたま市浦和区仲町2-9-11,048-822-6392,048-822-6392,,平日11:00～21:00、日祭日11:00～20:30,水曜日,,ほ乳瓶による授乳のみできます。
ベックスコーヒーショップ　与野店,飲食業,飲食,○,×,×,,1,【おむつ交換】1階レスト内,,330-0071,さいたま市浦和区,さいたま市浦和区上木崎1-8-9 JR与野駅西口階段下,048-815-8306,048-815-8306,T1642@jefb.co.jp,平日:6:45～21:00/土・日・祝日:6:45～20:00,なし,http://www.jefb.co.jp/becks/,"1階客席にキッズルーム、1階トイレ内におむつ交換台を備えたベックスコーヒーショップです。
是非ご家族でご来店ください。
スタッフ一同、心よりお待ちしています。"
レクサス浦和,自動車販売,自動車,○,○,×,,2,【おむつ交換】多目的トイレ　【授乳室】授乳室（コンサルティングデスクと併用）,,330-0074,さいたま市浦和区,さいたま市浦和区北浦和5-6-1,048-822-2111,048-833-2138,,10:00～19:00,月曜日（月曜日が祝祭日の場合、翌火曜日を休業）,http://lexus.jp/,"全スタッフが、ご来店いただいたご利用者の方々に¨笑顔¨でお帰りいただけるような対応を心がけていますので、お気軽にお立ち寄りください。
"
さいたま市立領家公民館,公民館,公共施設,○,○,×,,2,"【おむつ交換+授乳】1階授乳室　
【おむつ交換】2階多目的トイレ",1階の授乳室と2階の多目的トイレにおむつ交換台が1台ずつあります。,330-0072,さいたま市浦和区,さいたま市浦和区領家4-21-21,048-831-2265,048-831-2265,ryoke-pub@city.saitama.lg.jp,9:00～21:30,"年末年始(12月29日～1月3日)
他休館日あり。",http://www.city.saitama.jp/urawa/001/001/005/002/p033949.html,親子の居場所づくりのサロンや講座も行っています。
メディカルモール新都心(埼玉県住宅供給公社),不動産賃貸管理業,その他,○,×,×,,1,【おむつ交換】3階トイレ内,おむつ交換台1台設置,330-0071,さいたま市浦和区,さいたま市浦和区上木崎2-7-13,048-829-2866,048-825-1823,,10:30～14:30,水・土・日,http://www.saijk.or.jp/,医療モール
東日本旅客鉄道株式会社　浦和駅,鉄道事業,公共交通機関,○,×,×,,3,【おむつ交換】多機能トイレ・女子トイレ・男子トイレ,,,さいたま市浦和区,さいたま市浦和区高砂1丁目,,,,,,,
東日本旅客鉄道株式会社　北浦和駅,鉄道事業,公共交通機関,○,×,×,,1,【おむつ交換】多機能トイレ,,,さいたま市浦和区,さいたま市浦和区北浦和3丁目,,,,,,,
